asset_readiness,band,capture_safety,complexity_penalty,effort,id,implementability,metric_upside,pillar,placement,regression_risk,risk,score,stage_targets,status,title,visual_roi
1.0,A,1.0,0.0,S,MAT-019,1.0,1.0,materials,behind_wall,0.1,low,93.5,Combat,candidate,Behind-wall oxidized fastener patch,0.8
1.0,A,1.0,0.0,S,AIR-011,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,Cockpit|ADS,candidate,Instrument cluster bezel separators,0.8
1.0,A,0.95,0.0,S,MAT-006,1.0,1.0,materials,additive_emissive,0.1,low,92.5,PropNose|YakBeauty,candidate,Airframe paint scuff accents,0.8
1.0,A,0.95,0.0,S,AIR-013,1.0,1.0,aircraft,additive_emissive,0.1,low,92.5,Cockpit,candidate,Instrument switch-cap highlights,0.8
1.0,A,0.95,0.0,S,VFX-015,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,Ocean|Harbor,candidate,Thin ocean spray fan,0.8
1.0,A,1.0,0.0,S,CO-001,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,City|Wide,candidate,Bright brick tower vertical strip,0.8
1.0,A,1.0,0.0,S,CO-002,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,City|Wide,candidate,Apartment bright plaster panel,0.8
1.0,A,1.0,0.0,S,CO-008,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,City|Harbor,candidate,Coast block pale plaster face,0.8
1.0,A,1.0,0.0,S,CO-012,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,Harbor|Ocean,candidate,Freighter warm hull panel,0.8
1.0,A,1.0,0.0,S,MAT-007,1.0,0.7,materials,behind_wall,0.1,low,90.5,City,candidate,Airframe moisture stain breakup,0.8
1.0,A,0.95,0.0,S,CO-019,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,Ocean,candidate,Surf scallop accents,0.8
1.0,A,0.95,0.0,S,WPN-020,1.0,1.0,weapon_ads,additive_emissive,0.1,low,90.0,ADS,candidate,Muzzle-side identification tick,0.8
1.0,A,1.0,0.0,S,MAT-015,1.0,1.0,materials,behind_wall,0.1,low,88.5,City,candidate,Behind-wall rust tile tint,0.55
